epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.63592,2.52994,6.32143,3.45089,2.12006,0.04833,0.19463,0.02973,0.01303,0.02667,0.10738,0.01527,0.00568,2.62659,5.37869,3.24582,1.80149,6e-05,6e-05,6e-05
2,10.4593,2.59296,5.7329,3.54956,2.09056,0.05167,0.20805,0.03271,0.01346,0.02667,0.10738,0.01488,0.00429,2.62508,5.19139,3.2281,1.77908,0.00013538,0.00013538,0.00013538
3,12.7111,2.3919,5.75881,3.43642,1.96725,0.05167,0.20805,0.03214,0.01225,0.02,0.08054,0.01096,0.00339,2.60305,5.18201,3.23401,1.79187,0.00020548,0.00020548,0.00020548
4,14.91,2.55883,4.77107,3.47128,2.1964,0.05167,0.20805,0.03214,0.01225,0.02,0.08054,0.01096,0.00339,2.60305,5.18201,3.23401,1.79187,0.0002703,0.0002703,0.0002703
5,17.2625,2.56641,4.51865,3.46997,2.05601,0.05667,0.22819,0.03619,0.01352,0.01333,0.05369,0.00715,0.00241,2.46788,5.48193,3.25266,1.81394,0.00032984,0.00032984,0.00032984
6,19.5345,2.26815,5.14678,3.37688,1.96153,0.05667,0.22819,0.03619,0.01352,0.01333,0.05369,0.00715,0.00241,2.46788,5.48193,3.25266,1.81394,0.0003841,0.0003841,0.0003841
7,21.7619,2.36758,4.986,3.4153,1.9264,0.06333,0.25503,0.04171,0.0148,0.005,0.02013,0.00268,0.00105,2.37998,5.51346,3.28863,1.79872,0.00043308,0.00043308,0.00043308
8,23.9075,2.39045,4.83391,3.35719,1.93925,0.06333,0.25503,0.04171,0.0148,0.005,0.02013,0.00268,0.00105,2.37998,5.51346,3.28863,1.79872,0.00047678,0.00047678,0.00047678
9,26.1541,2.32348,4.8271,3.34488,1.89563,0.06333,0.25503,0.04171,0.0148,0.005,0.02013,0.00268,0.00105,2.37998,5.51346,3.28863,1.79872,0.0005152,0.0005152,0.0005152
10,28.3279,2.33276,4.62423,3.29849,1.86804,0.07333,0.2953,0.04906,0.01876,0.005,0.02013,0.00261,0.00095,2.30194,5.08904,3.27994,1.83173,0.00054834,0.00054834,0.00054834
11,30.4886,2.34185,4.64658,3.29854,1.85154,0.07333,0.2953,0.04906,0.01876,0.005,0.02013,0.00261,0.00095,2.30194,5.08904,3.27994,1.83173,0.0005762,0.0005762,0.0005762
12,32.649,2.38862,4.31563,3.26572,1.86279,0.07333,0.2953,0.04906,0.01876,0.005,0.02013,0.00261,0.00095,2.30194,5.08904,3.27994,1.83173,0.00059878,0.00059878,0.00059878
13,34.8163,2.30745,4.79556,3.26094,1.85423,0.07333,0.2953,0.04906,0.01876,0.005,0.02013,0.00261,0.00095,2.30194,5.08904,3.27994,1.83173,0.00061608,0.00061608,0.00061608
14,37.0648,2.35024,4.07142,3.21117,1.95518,0.07667,0.30872,0.0511,0.0219,0,0,0,0,2.27377,4.77004,3.2201,1.77647,0.0006281,0.0006281,0.0006281
15,39.2375,2.30322,4.43945,3.19066,1.84487,0.07667,0.30872,0.0511,0.0219,0,0,0,0,2.27377,4.77004,3.2201,1.77647,0.00063484,0.00063484,0.00063484
16,41.4823,2.32434,4.27001,3.16787,1.80628,0.07667,0.30872,0.0511,0.0219,0,0,0,0,2.27377,4.77004,3.2201,1.77647,0.0006363,0.0006363,0.0006363
17,43.783,2.37786,4.26011,3.13757,1.79982,0.07667,0.30872,0.0511,0.0219,0,0,0,0,2.27377,4.77004,3.2201,1.77647,0.00063248,0.00063248,0.00063248
18,45.9195,2.28886,4.34163,3.19071,1.78168,0.07667,0.30872,0.0511,0.0219,0,0,0,0,2.27377,4.77004,3.2201,1.77647,0.00062338,0.00062338,0.00062338
19,48.1028,2.3224,4.5039,3.1603,1.84799,0.07667,0.30872,0.0511,0.0219,0,0,0,0,2.27377,4.77004,3.2201,1.77647,0.000609,0.000609,0.000609
20,50.3664,2.21931,4.5278,3.07189,1.76493,0.08167,0.32886,0.05518,0.0215,0.00833,0.03356,0.00469,0.00182,2.27807,4.66868,3.08486,1.74444,0.00058934,0.00058934,0.00058934
21,52.2248,2.28599,4.4734,2.8702,1.75663,0.08167,0.32886,0.05518,0.0215,0.00833,0.03356,0.00469,0.00182,2.27807,4.66868,3.08486,1.74444,0.0005644,0.0005644,0.0005644
22,54.1906,2.27407,4.52427,2.93877,1.83172,0.08167,0.32886,0.05518,0.0215,0.00833,0.03356,0.00469,0.00182,2.27807,4.66868,3.08486,1.74444,0.00053418,0.00053418,0.00053418
23,56.1083,2.26659,4.50313,2.85983,1.7517,0.08167,0.32886,0.05518,0.0215,0.00833,0.03356,0.00469,0.00182,2.27807,4.66868,3.08486,1.74444,0.00049868,0.00049868,0.00049868
24,58.0209,2.29076,4.58433,2.91592,1.74446,0.08167,0.32886,0.05518,0.0215,0.00833,0.03356,0.00469,0.00182,2.27807,4.66868,3.08486,1.74444,0.0004579,0.0004579,0.0004579
25,59.9867,2.19618,4.48545,2.92014,1.80919,0.08167,0.32886,0.05518,0.0215,0.00833,0.03356,0.00469,0.00182,2.27807,4.66868,3.08486,1.74444,0.00041184,0.00041184,0.00041184
26,61.9528,2.28513,4.34626,2.86602,1.72338,0.08167,0.32886,0.05518,0.0215,0.00833,0.03356,0.00469,0.00182,2.27807,4.66868,3.08486,1.74444,0.00035,0.00035,0.00035
27,63.9797,2.20151,4.40975,2.85801,1.69501,0.08167,0.32886,0.05518,0.0215,0.00833,0.03356,0.00469,0.00182,2.27807,4.66868,3.08486,1.74444,0.000284,0.000284,0.000284
