epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,4197.57,1.86527,3.82187,1.70151,1.55257,0.22148,0.30244,0.17537,0.07913,0.02315,0.08113,0.01297,0.00409,1.93529,3.99679,1.7657,1.64336,0.0018086,0.0018086,0.0018086
31,4344.07,1.84859,3.83614,1.70459,1.55325,0.24144,0.27228,0.18211,0.08506,0.02505,0.08989,0.01397,0.00454,1.85816,3.9369,1.74137,1.63881,0.001802,0.001802,0.001802
32,4489.59,1.85489,3.83719,1.71557,1.56426,0.20171,0.28043,0.15101,0.07089,0.0383,0.09191,0.02019,0.00675,1.89269,4.01405,1.79424,1.63818,0.0017954,0.0017954,0.0017954
33,4626.92,1.8563,3.76888,1.68169,1.54841,0.24744,0.29183,0.18197,0.08439,0.05079,0.07127,0.02123,0.00699,1.89019,3.94682,1.72148,1.65358,0.0017888,0.0017888,0.0017888
34,4769.75,1.84157,3.81158,1.69973,1.55971,0.20141,0.30177,0.16398,0.07596,0.02893,0.10076,0.01645,0.00541,1.9014,3.98562,1.77378,1.65163,0.0017822,0.0017822,0.0017822
35,4912.84,1.84173,3.82718,1.67047,1.54,0.27734,0.29132,0.21098,0.09883,0.06033,0.07397,0.02509,0.00842,1.85621,3.94435,1.66654,1.59246,0.0017756,0.0017756,0.0017756
36,5054.52,1.82268,3.78675,1.68207,1.55004,0.20827,0.26428,0.1477,0.06894,0.04715,0.06251,0.01929,0.00641,1.88433,3.99882,1.82842,1.65378,0.001769,0.001769,0.001769
37,5188.25,1.82237,3.75255,1.66553,1.54377,0.24034,0.26285,0.17936,0.08177,0.04226,0.06571,0.01767,0.00539,1.91291,3.98985,1.83845,1.63005,0.0017624,0.0017624,0.0017624
38,5325.5,1.79763,3.80668,1.66536,1.54749,0.21763,0.29714,0.16774,0.07995,0.03583,0.10868,0.02005,0.00642,1.87627,3.92999,1.74275,1.62339,0.0017558,0.0017558,0.0017558
39,5457.47,1.82167,3.79374,1.66458,1.53671,0.21278,0.27978,0.15632,0.07405,0.0617,0.08728,0.02795,0.00952,1.87223,3.96155,1.77894,1.63828,0.0017492,0.0017492,0.0017492
40,5599.54,1.82604,3.75859,1.6794,1.54911,0.21677,0.28568,0.16572,0.07762,0.03012,0.09267,0.01661,0.00546,1.87787,3.93093,1.752,1.66461,0.0017426,0.0017426,0.0017426
41,5743.18,1.81997,3.78725,1.67888,1.53589,0.26658,0.28669,0.19816,0.09076,0.05086,0.06891,0.02122,0.00673,1.86348,3.91435,1.70901,1.64606,0.001736,0.001736,0.001736
42,5879.07,1.80152,3.78255,1.66775,1.54043,0.22431,0.27818,0.16686,0.07847,0.02532,0.0754,0.01336,0.0043,1.88378,3.98506,1.74672,1.60927,0.0017294,0.0017294,0.0017294
43,6017.38,1.80179,3.81589,1.67646,1.546,0.23246,0.2858,0.17696,0.08435,0.04143,0.08324,0.02027,0.00675,1.83803,3.93924,1.73223,1.61122,0.0017228,0.0017228,0.0017228
44,6159.42,1.81144,3.75134,1.63527,1.53266,0.25229,0.2727,0.18893,0.08881,0.04596,0.07776,0.02143,0.00678,1.85915,3.9429,1.73183,1.64242,0.0017162,0.0017162,0.0017162
45,6302.83,1.80457,3.74801,1.6339,1.51883,0.22917,0.28585,0.17277,0.08194,0.04187,0.11053,0.0226,0.00734,1.85462,3.98806,1.73743,1.65362,0.0017096,0.0017096,0.0017096
46,6448.83,1.79436,3.73291,1.64534,1.53932,0.23267,0.29183,0.17928,0.08467,0.05134,0.08374,0.02348,0.00736,1.84238,3.91479,1.7433,1.5821,0.001703,0.001703,0.001703
47,6578.89,1.78165,3.74775,1.65304,1.53458,0.23916,0.2786,0.17874,0.08566,0.05626,0.07944,0.02607,0.00861,1.85491,3.95835,1.73911,1.59596,0.0016964,0.0016964,0.0016964
48,6718.32,1.7995,3.74827,1.63814,1.51681,0.2397,0.2973,0.1892,0.09118,0.04612,0.07228,0.02115,0.00661,1.83372,3.91713,1.69347,1.56485,0.0016898,0.0016898,0.0016898
49,6857.99,1.7759,3.70345,1.62557,1.52351,0.25927,0.30018,0.20681,0.09718,0.04637,0.09065,0.02315,0.00732,1.83112,3.87577,1.65894,1.60282,0.0016832,0.0016832,0.0016832
50,7000.32,1.77271,3.73987,1.62442,1.5214,0.2248,0.29469,0.1752,0.08238,0.04103,0.09562,0.02076,0.00692,1.85064,3.92562,1.7158,1.58321,0.0016766,0.0016766,0.0016766
51,7144.79,1.77227,3.76408,1.64565,1.5213,0.26219,0.31508,0.19985,0.09364,0.04516,0.12089,0.02416,0.00818,1.84442,3.89605,1.67938,1.61539,0.00167,0.00167,0.00167
52,7279.07,1.77868,3.74854,1.63126,1.52125,0.24916,0.30691,0.1919,0.09081,0.04895,0.09815,0.02379,0.00794,1.80665,3.87027,1.69143,1.61013,0.0016634,0.0016634,0.0016634
53,7404.38,1.7679,3.72648,1.6237,1.50737,0.27296,0.31306,0.21702,0.10059,0.03411,0.05998,0.01575,0.00508,1.83442,3.87632,1.65233,1.59464,0.0016568,0.0016568,0.0016568
54,7548.25,1.78097,3.74035,1.6257,1.52805,0.23575,0.3032,0.18191,0.08717,0.04667,0.07995,0.02228,0.00723,1.8175,3.8487,1.69929,1.61384,0.0016502,0.0016502,0.0016502
55,7683.23,1.77158,3.73898,1.601,1.50723,0.27309,0.29722,0.21004,0.0986,0.02275,0.04895,0.01034,0.00314,1.83971,4.09827,1.6642,1.54884,0.0016436,0.0016436,0.0016436
56,7827.51,1.78117,3.68597,1.60381,1.51027,0.23493,0.292,0.18059,0.08581,0.03052,0.0845,0.01581,0.00522,1.81289,3.92505,1.70922,1.59202,0.001637,0.001637,0.001637
57,7978.98,1.76235,3.75518,1.62254,1.50964,0.2135,0.29436,0.16248,0.07662,0.04489,0.1006,0.02219,0.00726,1.82957,3.90872,1.74481,1.56826,0.0016304,0.0016304,0.0016304
58,8122.81,1.76043,3.7125,1.60589,1.50829,0.3169,0.31104,0.24113,0.11141,0.04684,0.0802,0.02025,0.00674,1.80373,3.84332,1.63025,1.608,0.0016238,0.0016238,0.0016238
59,8252.95,1.75999,3.67975,1.59935,1.51319,0.28865,0.30489,0.22379,0.10699,0.07795,0.08719,0.03604,0.01161,1.80261,3.83972,1.62434,1.57355,0.0016172,0.0016172,0.0016172
60,8374.79,1.76666,3.69295,1.59065,1.49731,0.19103,0.30918,0.14832,0.07263,0.04741,0.0834,0.02219,0.00733,1.83117,3.90824,1.77698,1.55728,0.0016106,0.0016106,0.0016106
61,8520.58,1.73874,3.709,1.61228,1.49865,0.24284,0.27582,0.17908,0.08523,0.05054,0.09402,0.02421,0.00797,1.81546,3.90819,1.7358,1.60747,0.001604,0.001604,0.001604
62,8662.65,1.76625,3.69937,1.59863,1.4982,0.284,0.30253,0.21718,0.10371,0.06521,0.0989,0.02989,0.00972,1.8069,3.88303,1.65086,1.59695,0.0015974,0.0015974,0.0015974
63,8803.15,1.75087,3.7267,1.61692,1.50852,0.26113,0.29941,0.20776,0.09872,0.05498,0.08846,0.02525,0.00832,1.79888,3.83067,1.66377,1.5962,0.0015908,0.0015908,0.0015908
64,8934.88,1.74858,3.69603,1.5783,1.49933,0.25574,0.30219,0.20351,0.09627,0.05672,0.08441,0.02792,0.00894,1.82497,3.87089,1.6796,1.5766,0.0015842,0.0015842,0.0015842
65,9064.89,1.76555,3.65333,1.57544,1.50996,0.26933,0.3107,0.21117,0.09936,0.04609,0.07725,0.02103,0.00675,1.80448,3.83841,1.65418,1.58151,0.0015776,0.0015776,0.0015776
66,9206.44,1.77106,3.68851,1.59291,1.49749,0.2306,0.28829,0.17534,0.0828,0.02967,0.09115,0.01599,0.00515,1.82296,3.91973,1.72603,1.60914,0.001571,0.001571,0.001571
67,9323.72,1.74135,3.68127,1.57593,1.49383,0.29747,0.30758,0.2286,0.1063,0.04451,0.07414,0.02092,0.0066,1.81551,3.87194,1.61356,1.57504,0.0015644,0.0015644,0.0015644
68,9438.54,1.73136,3.66064,1.57004,1.49164,0.2337,0.29275,0.17428,0.08425,0.04148,0.07228,0.01825,0.00589,1.80463,3.92561,1.72744,1.57435,0.0015578,0.0015578,0.0015578
69,9556.78,1.72558,3.66908,1.56486,1.48674,0.2759,0.3075,0.21333,0.10293,0.06518,0.09334,0.02893,0.00935,1.77882,3.85435,1.63146,1.58053,0.0015512,0.0015512,0.0015512
70,9692.78,1.74215,3.64661,1.55395,1.4987,0.30092,0.28922,0.23254,0.10889,0.05857,0.08408,0.02572,0.00825,1.80218,3.83086,1.61351,1.59281,0.0015446,0.0015446,0.0015446
71,9838.99,1.74745,3.65399,1.55795,1.49244,0.2522,0.27944,0.18006,0.08354,0.0667,0.09166,0.03127,0.01042,1.84783,3.89738,1.74015,1.56931,0.001538,0.001538,0.001538
72,9983.06,1.74626,3.63446,1.56303,1.50507,0.27784,0.3011,0.21382,0.10084,0.04906,0.07751,0.02147,0.00706,1.80264,3.84344,1.65381,1.58527,0.0015314,0.0015314,0.0015314
73,10126.2,1.7481,3.64128,1.56234,1.50519,0.20848,0.29073,0.15875,0.07674,0.04625,0.0727,0.02048,0.00691,1.81945,3.85616,1.75056,1.6101,0.0015248,0.0015248,0.0015248
74,10254.7,1.7361,3.67124,1.55627,1.48597,0.22045,0.27877,0.16614,0.07924,0.03259,0.09284,0.01882,0.00573,1.83485,3.90651,1.74489,1.59261,0.0015182,0.0015182,0.0015182
75,10376.2,1.74444,3.64014,1.55708,1.49492,0.28784,0.30775,0.22808,0.10732,0.05306,0.09511,0.02522,0.00839,1.78563,3.83494,1.62908,1.57044,0.0015116,0.0015116,0.0015116
76,10510.5,1.72704,3.64506,1.56417,1.48266,0.17049,0.28248,0.12914,0.06322,0.02988,0.09174,0.01632,0.00549,1.81979,3.92651,1.89435,1.61831,0.001505,0.001505,0.001505
77,10647.5,1.74206,3.67212,1.56846,1.49824,0.28985,0.2941,0.22269,0.10391,0.05887,0.09621,0.02669,0.00886,1.80253,3.8592,1.63184,1.57088,0.0014984,0.0014984,0.0014984
78,10782.5,1.75701,3.65064,1.54003,1.47813,0.23001,0.29318,0.18082,0.08624,0.05779,0.09933,0.02849,0.00916,1.81045,3.86928,1.70737,1.58335,0.0014918,0.0014918,0.0014918
